id,taxonNameString,dwc:scientificNameAuthorship,namePublishedIn,dwc:namePublishedIn,dwc:namePublishedInYear,basionym
https://www.tropicos.org/name/35121458,Dicranoloma assimile,(Hampe) Renauld,_:HE6KA2A4,Rev. Bryol. 28: 69 (1901),1901,https://www.tropicos.org/name/35121913
https://www.tropicos.org/name/35121913,Dicranum assimile,Hampe,https://www.tropicos.org/publication/667,Icon. Musc. 24 (1844),1844,
https://www.tropicos.org/name/35154841,Leucoloma assimile,(Hampe) Broth.,_:QCZTMYTT,"Nat. Pflanzenfam. 1,3: 322 (1901)",1901,https://www.tropicos.org/name/35121913
https://www.tropicos.org/name/35124384,Dicranum sumatranum,Müll.Hal.,https://www.tropicos.org/publication/658,Genera musc. fr.: 285 (1901),1901,
https://www.tropicos.org/name/35155131,Leucoloma sumatranum,(Müll.Hal.) Broth.,_:QCZTMYTT,"Nat. Pflanzenfam. 1,3: 322 (1901)",1901,https://www.tropicos.org/name/35124384
https://www.tropicos.org/name/35121646,Dicranoloma sumatranum,(Müll.Hal.) Renauld,https://www.tropicos.org/publication/4881,Essai Leucoloma 14 (1909),1909,https://www.tropicos.org/name/35124384
https://www.tropicos.org/name/35121535,Dicranoloma gedeanum,Renauld & Cardot,_:7CXQYQDB,Rev. Bryol. 28: 117 (1901),1901,
https://www.tropicos.org/name/35204815,Dicranum assimile f. major,M.Fleisch.,_:PS5TWLLZ,Musci Fl. Buitenzorg 1: 74 (1904),1904,
https://www.tropicos.org/name/35121587,Dicranoloma perarmatum,Broth.,_:JHNVI8D4,Öfvers. Finska Vetensk.-Soc. Förh. 47(14): 1 (1905),1905,
https://www.tropicos.org/name/35121569,Dicranoloma monocarpum,Broth.,_:TJW6677Q,"Philipp. J. Sci., C. 13: 202 (1918)",1918,
https://www.tropicos.org/name/35121523,Dicranoloma euryloma,Dixon,_:WH2VEJW4,J. Linn. Soc. Bot. 50: 69 (1935),1935,
https://www.tropicos.org/name/35121524,Dicranoloma euryloma var. rugifolium,E.B.Bartram,_:ZCFFTZHT,Philipp. J. Sci. 61: 237 (1936),1936,
https://www.tropicos.org/name/35121480,Dicranoloma brachyphyllum,Nog.,_:2R6W6BY5,J. Hattori Bot. Lab. 10: 3 (1953),1953,
https://www.tropicos.org/name/35168349,Dicranoloma havilandii var. latifolium,Zanten,_:EE7TDMF8,"Nova Guinea, Bot. 10(16): 272 (1964)",1964,
