id,prefLabel,taxonName,accordingTo,comment
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-1,Campylium sec. Koperski et al. 2000,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9022656,"Weltweit über 30 Arten, in Europa 9 Arten (incl. *C. laxifolium Engelmark & Hedenäs 1990) – Hedenäs (1997a) akzeptiert auch die Gattungen Campyliadelphus und Campylophyllum und stellt Campylium polygamum zur Gattung Drepanocladus."
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-2,Amblystegium sec. Koperski et al. 2000,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9022656,"Weltweit etwa 35 Arten, in Europa 8 Arten. Abweichedn von Corley & al. Wird in Übereinstimmung mit Anderson & al. (1990), Ignatoc & Afonina (1992), Blockeel & Long (1998) sowie Crosby & al. (1999) Leptodictyum als Gattung akzeptiert (s. auch Hedenäs 1990a"
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-3,Platydictya sec. Koperski et al. 2000,https://www.tropicos.org/name/35000970,https://www.tropicos.org/reference/9022656,"Weltweit 7 Arten, in Europa 1 Art."
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-4,Leptodictyum sec. Koperski et al. 2000,https://www.tropicos.org/name/35000692,https://www.tropicos.org/reference/9022656,"Weltweit 8 Arten, in Europa 1 Art. In Übereinstimmung mit Anderson & al. (1990), Ignatoc & Afonina (1992), Blockeel & Long (1998) sowie Crosby & al. (1999) Leptodictyum als Gattung akzeptiert (s. auch Hedenäs 1990a)."
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-5,Conardia sec. Koperski et al. 2000,https://www.tropicos.org/name/35000290,https://www.tropicos.org/reference/9022656,Weltweit 1 Art.
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-6,Campylium sec. Corley et al. 1981,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9004554,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-7,Campylium sec. Smith 1980,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9007023,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-8,Chrysohypnum sec. Moenkemeyer 1927,https://www.tropicos.org/name/35000256,https://www.tropicos.org/reference/9021085,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-9,Drepanocladus sec. Moenkemeyer 1927,https://www.tropicos.org/name/35000413,https://www.tropicos.org/reference/9021085,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-10,Campylium sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9011497,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-11,Amblystegium sec. Corley et al. 1981,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9004554,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-12,Amblystegium sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9011497,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-13,Hygroamblystegium sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000612,https://www.tropicos.org/reference/9011497,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-14,Hygroamblystegium sec. Moenkemeyer 1927,https://www.tropicos.org/name/35000612,https://www.tropicos.org/reference/9021085,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-15,Amblystegiella sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000039,https://www.tropicos.org/reference/9011497,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-16,Campylium sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000208,https://www.tropicos.org/reference/9011497,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-17,Amblystegium sec. Moenkemeyer 1927,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9021085,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-18,Amblystegium sec. Smith 1980,https://www.tropicos.org/name/35000040,https://www.tropicos.org/reference/9007023,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-19,Platydictya sec. Smith 1980,https://www.tropicos.org/name/35000970,https://www.tropicos.org/reference/9007023,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-20,Platydictya sec. Corley et al. 1981,https://www.tropicos.org/name/35000970,https://www.tropicos.org/reference/9004554,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-21,Amblystegium sect. Serpoleskea sec. Moenkemeyer 1927,https://www.tropicos.org/name/35102679,https://www.tropicos.org/reference/9021085,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-22,Leptodictyum sec. Frahm & Frey 1992,https://www.tropicos.org/name/35000692,https://www.tropicos.org/reference/9011497,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-23,Amblystegium sect. Leptodictyum sec. Moenkemeyer 1927,https://www.tropicos.org/name/35102656,https://www.tropicos.org/reference/9021085,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-24,Amblystegium subg. Leptodictyum sec. Corley et al. 1981,https://www.tropicos.org/name/35102656,https://www.tropicos.org/reference/9004554,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-25,Conardia sec. Corley et al. 1981,https://www.tropicos.org/name/35000290,https://www.tropicos.org/reference/9004554,
https://tdwg.github.io/tcs2/examples/taxon-concepts/4-26,Rhynchostegiella sec. Frahm & Frey 1992,https://www.tropicos.org/name/35001131,https://www.tropicos.org/reference/9011497,
