id,controlledTerm,label
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/abortivum,abortivum,abortivum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/alternativum,alternativum,alternativum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/ambigua,ambigua,ambigua
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/available,available,available
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/combination,combination,combination
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/confusum,confusum,confusum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/conservandum,conservandum,conservandum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/correctum,correctum,correctum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/dubimum,dubimum,dubimum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/illegitimum,illegitimum,illegitimum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/invalidum,invalidum,invalidum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/legitimate,legitimate,legitimate
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/negatum,negatum,negatum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/novum,novum,novum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/nudum,nudum,nudum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/nullum,nullum,nullum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/oblitum,oblitum,oblitum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/oppressa,oppressa,oppressa
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/orthographa,orthographa,orthographa
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/protectum,protectum,protectum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/provisorum,provisorum,provisorum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/rejiciendum,rejiciendum,rejiciendum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/rejiciendumProp,rejiciendumProp,rejiciendumProp
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/rejiciendumUtique,rejiciendumUtique,rejiciendumUtique
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/rejiciendumUtiqueProp,rejiciendumUtiqueProp,rejiciendumUtiqueProp
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/subnudum,subnudum,subnudum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/superfluum,superfluum,superfluum
http://rs.gbif.org/vocabulary/gbif/nomenclatural_status/valid,valid,valid
