ID,type,foaf:givenName,foaf:familyName,foaf:name,address:localityName
_:b45,foaf:Person,,Braun,,
_:b57,foaf:Person,,Corley,,
_:b58,foaf:Person,,Crundwell,,
_:b59,foaf:Person,,Düll,,
_:b80,foaf:Person,,Frahm,,
_:b81,foaf:Person,,Frey,,
_:b46,foaf:Person,,Gradstein,,
_:b60,foaf:Person,,Hill,,
_:b43,foaf:Person,,Koperski,,
_:b89,foaf:Person,,Mönkemeyer,,
_:b91,foaf:Person,,Rabenhorst,,
_:b44,foaf:Person,,Sauer,,
_:b61,foaf:Person,,Smith,,
_:a955093,foaf:Group,,,,
_:a035932,foaf:Group,,,,
_:a551064,foaf:Group,,,,
_:a739097,foaf:Group,,,,
