ID,nameString,scientificNameAuthorship,namePublishedInLiteral,namePublishedInYear,nomenclaturalStatus,basionymID,replacedNameID,basedOnID
https://www.tropicos.org/name/35000039,Amblystegiella,Loeske,Moosfl. Harz.: 294 (1903),,superfluous,,,
https://www.tropicos.org/name/35000040,Amblystegium,Schimp.,Bryol. Eur. 6: 45 (1853),,,,,
https://www.tropicos.org/name/35102672,Amblystegium sect. Leptodictyum,(Schimp.) Mönk.,Laubm. Eur.: 730 (1927),,,https://www.tropicos.org/name/35102656,,
https://www.tropicos.org/name/35102656,Amblystegium subg. Leptodictyum,Schimp.,Syn. Musc. Eur.: 595 (1860),,,,,
https://www.tropicos.org/name/35102679,Amblystegium sect. Serpoleskea,(Limpr.) Mönk.,Laubm. Eur.: 730 (1927),,,,,
https://www.tropicos.org/name/35000207,Campyliadelphus,(Kindb.) R.S.Chopra,Taxon. Indian Mosses: 442 (1975),,,,,
https://www.tropicos.org/name/35000208,Campylium,(Sull.) Mitt.,"J. Linn. Soc., Bot. 12: 631 (1809)",,,https://www.tropicos.org/name/35101380,,
https://www.tropicos.org/name/35000213,Campylophyllum,(Schimp.) M.Fleisch.,Nova Guinea 12(2): 123 (1914),,,,,
https://www.tropicos.org/name/35000256,Chrysohypnum,G.Roth,Hedwigia 38(Beibl. 1): 6 (1899),,superfluous,,,
https://www.tropicos.org/name/35000290,Conardia,H.Rob.,Phytologia 33: 294 (1976),,,,,
https://www.tropicos.org/name/35000413,Drepanocladus,(Müll.Hal.) G.Roth,Hedwigia 38(Beibl. 1): 6 (1899),,,,,
https://www.tropicos.org/name/35000612,Hygroamblystegium,Loeske,Moosfl. Harz.: 298 (1903),,,,,
https://www.tropicos.org/name/35101380,Hypnum subg. Campylium,Sull.,"Man. Bot. (A. Eaton), ed. 2: 677 (1856)",,,,,
https://www.tropicos.org/name/35000692,Leptodictyum,(Schimp.) Warnst.,"Krypt.-Fl. Brandenburg, Laubm. 2: 840 (1906)",,,https://www.tropicos.org/name/35102656,,
https://www.tropicos.org/name/35000970,Platydictya,Berk.,Handb. Brit. Mosses: 145 (1863),,,,,
https://www.tropicos.org/name/35001131,Rhynchostegiella,(Schimp.) Limpr.,Laubm. Deutschl. 3: 207 (1896),,conserved,,,
