ID,taxonNameID,accordingToID,taxonConceptLabel,taxonRank,parentID
https://avibase.ca/82745BAA,_:tn1,https://avibase.bsc-eoc.org,,,
_:tc696900,_:tn1,_:ref4,Circus cyaneus sec. Howard & Moore 2013,,
https://avibase.ca/F558C7F9,_:tn1,https://avibase.bsc-eoc.org,,,
_:tc974431,_:tn1,_:ref1,Circus cyaneus sec. Clements 2021,,
_:tc724756,_:tn1,_:ref2,Circus cyaneus sec. Gill & al. 2021,,
_:tc610428,_:tn1,_:ref3,Circus cyaneus sec. HBW/Birdlife 2020,,
_:tc148904,_:tn222432,_:ref4,Circus cyaneus cyaneus sec. Howard & Moore 2013,,
https://avibase.ca/A091D50A,_:tn2,https://avibase.bsc-eoc.org,,,
_:tc174601,_:tn2,_:ref1,Circus hudsonius sec. Clements 2021,,
_:tc603479,_:tn2,_:ref2,Circus hudsonius sec. Gill & al. 2021,,
_:tc723303,_:tn2,_:ref3,Circus hudsonius sec. HBW/Birdlife 2020,,
_:tc672830,_:tn836932,_:ref4,Circus cyaneus hudsonius sec. Howard & Moore 2013,,
