ID,type,foaf_givenName,foaf_familyName,foaf_name,address_localityName
https://www.wikidata.org/wiki/Q60718,foaf:Person,A.,Engler,,
https://www.wikidata.org/wiki/Q64995,foaf:Person,K.,Prantl,,
https://www.wikidata.org/wiki/Q63040,foaf:Person,O.,Drude,,
https://orcid.org/0000-0003-2224-6821,foaf:Person,Niels,Klazenga,,
https://www.wikidata.org/wiki/Q8771887,foaf:Person,E.,Irmscher,,
https://www.wikidata.org/wiki/Q62822,foaf:Person,O.,Warburg,,
https://www.wikidata.org/wiki/Q21387987,foaf:Person,J.J.F.E.,de Wilde,,
https://www.wikidata.org/wiki/Q21394461,foaf:Person,R.J.,Quené,,
https://www.wikidata.org/wiki/Q10331852,foaf:Person,M.,Keraudren-Aymonin,,
_:a556808,foaf:Group,,,,
_:a872464,foaf:Organization,,,W. Engelmann,Leipzig
