bibliographicResourceID,orderNumber,agentID,isEditor
https://doi/org/10.2307/3668252,1,https://orcid.org/0000-0003-2224-6821,false
https://doi/org/10.2307/3668252,2,https://www.wikidata.org/wiki/Q21387987,false
https://doi/org/10.2307/3668252,3,https://www.wikidata.org/wiki/Q21394461,false
_:b45,1,https://www.wikidata.org/wiki/Q60718,false
_:br452733,1,https://www.wikidata.org/wiki/Q60718,true
_:br452733,2,https://www.wikidata.org/wiki/Q63040,true
_:b8,1,https://www.wikidata.org/wiki/Q62822,false
_:br739965,1,https://www.wikidata.org/wiki/Q60718,true
_:br739965,2,https://www.wikidata.org/wiki/Q64995,true
_:b17,1,https://www.wikidata.org/wiki/Q62822,false
_:b20,1,https://www.wikidata.org/wiki/Q10331852,false
_:b10,1,https://www.wikidata.org/wiki/Q8771887,false
_:br490546,1,https://www.wikidata.org/wiki/Q60718,true
_:br490546,2,https://www.wikidata.org/wiki/Q64995,true
