ID,nameString,scientificNameAuthorship,namePublishedIn,namePublishedInYear,nomenclaturalStatus,basionymID,replacedNameID,basedOnID
zoobank:29a6803b-c1d8-4460-96c7-cc006095413f,Giraffa,"Brisson, 1762",,1762,,,,
zoobank:3ac03875-1c25-49a5-96c5-981b87cfa73a,Giraffa camelopardalis reticulata,"de Winton, 1899",,1899,,,,
_:tn0,Giraffa reticulata,"(Linn., 1758)",,,,zoobank:29a6803b-c1d8-4460-96c7-cc006095413f,,
zoobank:ca84d710-341e-46af-be74-f49f84c8a53c,Cervus camelopardalis,"Linn., 1758",,1758,,,,
_:tn1,Giraffa camelopardalis,"(Linn., 1758)",,,,zoobank:ca84d710-341e-46af-be74-f49f84c8a53c,,
_:tn2,Giraffa camelopardalis camelopardalis,"(Linn., 1758)",,,,,,_:tn1
zoobank:6b9469dc-6f06-4fba-911b-c08c2667278f,Camelopardalis antiquorum,"Swainson, 1835",,1835,,,,
zoobank:e6851c80-2e77-4a51-bbbc-7179249e9d5c,Camelopardalis aethiopica,"Ogilby, 1837",,1837,,,,
_:tn17,Giraffa antiquorum,"(Swainson, 1835)",,,,zoobank:6b9469dc-6f06-4fba-911b-c08c2667278f,,
_:tn3,Giraffa camelopardalis antiquorum,"(Swainson, 1835)",,,,zoobank:6b9469dc-6f06-4fba-911b-c08c2667278f,,
zoobank:9cba7e21-4f14-4354-b559-36b7db538c08,Giraffa camelopardalis cottoni,"Lydekker, 1904",,1904,,,,
zoobank:a3492a30-8739-4b4e-8e6f-5c09e2c34315,Giraffa camelopardalis rothschildi,"Lydekker, 1903",,1903,,,,
zoobank:fc4e3aca-4e59-4fae-a052-f220b4a5c70b,Giraffa tippelskirchi,"Matschie, 1898",,1898,,,,
_:tn6,Giraffa camelopardalis tippelskirchi,"(Matschie, 1898)",,,,zoobank:fc4e3aca-4e59-4fae-a052-f220b4a5c70b,,
_:tn26,Giraffa tippelskirchi tippelskirchi,"(Matschie, 1898)",,,,,,zoobank:fc4e3aca-4e59-4fae-a052-f220b4a5c70b
zoobank:aed6605c-7811-4260-9c4c-21b26b946e5d,Giraffa schillingsii,"Matschie, 1898",,1898,,,,
zoobank:f4bc8451-d2f8-41be-a900-e61af09734b6,Giraffa hagenbecki,"Knottnerus-Meyer, 1910",,1910,,,,
zoobank:38db2575-317c-4f7c-b0d0-5a85250e5f1f,Giraffa camelopardalis congoensis,"Lydekker, 1903",,1903,,,,
zoobank:c8aeee34-3551-4227-871c-13f2a52bcf02,Giraffa camelopardalis angolensis,"Lydekker, 1903",,1903,,,,
_:tn25,Giraffa angolensis,"(Lydekker, 1903)",,,,zoobank:c8aeee34-3551-4227-871c-13f2a52bcf02,,
_:tn29,Giraffa giraffa angolensis,"(Lydekker, 1903)",,,,zoobank:c8aeee34-3551-4227-871c-13f2a52bcf02,,
zoobank:0477d1d3-3602-4bec-b4a3-11d108886065,Giraffa camelopardalis wardi,"Lydekker, 1904",,1904,,,,
_:tn14,Camelopardalis capensis,"Lesson, 1842",,1842,,,,
_:tn10,Giraffa camelopardalis capensis,"(Lesson, 1842)",,,,_:tn14,,
zoobank:507a1a9e-dcf8-4c92-a94d-2ad984ad8f46,Camelopardalis senaariensis,"Trouessart, 1898",,1898,,,,
zoobank:4967abaa-2035-4237-85e9-3bc7ffa2259b,Giraffa camelopardalis australis,"Rhoads, 1896",,1896,,,,
_:tn15,Giraffa australis,"(Rhoads, 1896)",,,,zoobank:4967abaa-2035-4237-85e9-3bc7ffa2259b,,
zoobank:a1d014fd-cdbf-4eaf-a979-100186fc2f41,Giraffa camelopardalis peralta,"Thomas, 1908",,1908,,,,
_:tn19,Giraffa peralta,"(Thomas, 1908)",,,,zoobank:a1d014fd-cdbf-4eaf-a979-100186fc2f41,,
_:tn20,Giraffa camelopardalis renatae,"Krumbiegel, 1971",,1971,,,,
zoobank:154d50db-6186-4760-b298-856af70de7b8,Giraffa camelopardalis thornicrofti,"Lydekker, 1903",,1903,,,,
_:tn21,Giraffa thornicrofti,"(Lydekker, 1903)",,,,zoobank:154d50db-6186-4760-b298-856af70de7b8,,
_:tn28,Giraffa tippelskirchi thornicrofti,"(Lydekker, 1903)",,,,zoobank:154d50db-6186-4760-b298-856af70de7b8,,
zoobank:d877e595-ff30-4d86-b4bd-39d06e5e2cf3,Camelopardalis giraffa,"Schreber, 1784",,1784,,,,
_:tn22,Giraffa giraffa,"(Schreber, 1784)",,,,zoobank:d877e595-ff30-4d86-b4bd-39d06e5e2cf3,,
_:tn30,Giraffa camelopardalis giraffa,"(Schreber, 1784)",,,,zoobank:d877e595-ff30-4d86-b4bd-39d06e5e2cf3,,
_:tn27,Giraffa giraffa giraffa,"(Schreber, 1784)",,,,,,_:tn22
zoobank:be7a0080-ff1c-4857-a536-6d0016ccc1e8,Giraffa infumata,"Noak, 1908",,1908,,,,
